"""p""","""sumP"""
"[{""name"":""LAX""},{""idt"":662,""class"":""firstClass"",""idf"":659},{""name"":""LAS""},{""name"":""LAS""},{""idt"":362,""class"":""firstClass"",""idf"":359},{""name"":""IAD""}]",2865.6
"[{""name"":""LAX""},{""idt"":1005,""class"":""business"",""idf"":1003},{""name"":""SMF""},{""name"":""SMF""},{""idt"":181,""class"":""business"",""idf"":179},{""name"":""DEN""}]",1341
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":701,""class"":""business"",""idf"":699},{""name"":""SFO""}]",2782.25
"[{""name"":""LAX""},{""idt"":1006,""class"":""firstClass"",""idf"":1003},{""name"":""SMF""}]",474
"[{""name"":""LAX""},{""idt"":966,""class"":""firstClass"",""idf"":963},{""name"":""FAT""}]",267.59999999999997
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":237,""class"":""business"",""idf"":235},{""name"":""MCO""}]",2316
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":761,""class"":""business"",""idf"":759},{""name"":""TUL""}]",2161.3999999999996
"[{""name"":""LAX""},{""idt"":136,""class"":""economy"",""idf"":135},{""name"":""EWR""}]",1905
"[{""name"":""LAX""},{""idt"":1009,""class"":""business"",""idf"":1007},{""name"":""SMF""},{""name"":""SMF""},{""idt"":181,""class"":""business"",""idf"":179},{""name"":""DEN""}]",1339
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":89,""class"":""business"",""idf"":87},{""name"":""MCO""}]",2317
"[{""name"":""LAX""},{""idt"":1010,""class"":""firstClass"",""idf"":1007},{""name"":""SMF""}]",471.59999999999997
"[{""name"":""LAX""},{""idt"":973,""class"":""business"",""idf"":971},{""name"":""ABQ""}]",706
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":880,""class"":""economy"",""idf"":879},{""name"":""AUS""}]",1538.75
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":745,""class"":""business"",""idf"":743},{""name"":""CRP""}]",1283.25
"[{""name"":""LAX""},{""idt"":980,""class"":""economy"",""idf"":979},{""name"":""TUS""}]",354
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":520,""class"":""economy"",""idf"":519},{""name"":""BWI""}]",2390.75
"[{""name"":""LAX""},{""idt"":925,""class"":""business"",""idf"":923},{""name"":""ABQ""}]",705
"[{""name"":""LAX""},{""idt"":1002,""class"":""firstClass"",""idf"":999},{""name"":""SMF""},{""name"":""SMF""},{""idt"":182,""class"":""firstClass"",""idf"":179},{""name"":""DEN""}]",1608
"[{""name"":""LAX""},{""idt"":996,""class"":""economy"",""idf"":995},{""name"":""SMF""},{""name"":""SMF""},{""idt"":180,""class"":""economy"",""idf"":179},{""name"":""DEN""}]",1004.25
"[{""name"":""LAX""},{""idt"":960,""class"":""economy"",""idf"":959},{""name"":""FAT""}]",165.75
"[{""name"":""LAX""},{""idt"":952,""class"":""economy"",""idf"":951},{""name"":""FAT""}]",165.75
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":292,""class"":""economy"",""idf"":291},{""name"":""FLL""}]",2465.3999999999996
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":882,""class"":""firstClass"",""idf"":879},{""name"":""AUS""}]",1891.1999999999998
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":738,""class"":""firstClass"",""idf"":735},{""name"":""CRP""}]",1967.9999999999998
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":726,""class"":""firstClass"",""idf"":723},{""name"":""CRP""}]",1682.6
"[{""name"":""LAX""},{""idt"":662,""class"":""firstClass"",""idf"":659},{""name"":""LAS""},{""name"":""LAS""},{""idt"":645,""class"":""business"",""idf"":643},{""name"":""DEN""}]",952.8
"[{""name"":""LAX""},{""idt"":544,""class"":""economy"",""idf"":543},{""name"":""EWR""}]",1907.25
"[{""name"":""LAX""},{""idt"":1000,""class"":""economy"",""idf"":999},{""name"":""SMF""}]",295.5
