"""p""","""sumP"""
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":713,""class"":""business"",""idf"":711},{""name"":""CRP""}]",1925.3999999999999
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":753,""class"":""business"",""idf"":751},{""name"":""ORF""}]",2673
"[{""name"":""LAX""},{""idt"":968,""class"":""economy"",""idf"":967},{""name"":""ABQ""}]",528.75
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":714,""class"":""firstClass"",""idf"":711},{""name"":""CRP""}]",1682.6
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":102,""class"":""firstClass"",""idf"":99},{""name"":""DFW""}]",1711.4
"[{""name"":""LAX""},{""idt"":106,""class"":""firstClass"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":733,""class"":""business"",""idf"":731},{""name"":""CRP""}]",1927.3999999999999
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":292,""class"":""economy"",""idf"":291},{""name"":""FLL""}]",1823.25
"[{""name"":""LAX""},{""idt"":1001,""class"":""business"",""idf"":999},{""name"":""SMF""},{""name"":""SMF""},{""idt"":182,""class"":""firstClass"",""idf"":179},{""name"":""DEN""}]",1529.2
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":882,""class"":""firstClass"",""idf"":879},{""name"":""AUS""}]",1249.05
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":738,""class"":""firstClass"",""idf"":735},{""name"":""CRP""}]",1325.85
"[{""name"":""LAX""},{""idt"":956,""class"":""economy"",""idf"":955},{""name"":""FAT""}]",166.5
"[{""name"":""LAX""},{""idt"":928,""class"":""economy"",""idf"":927},{""name"":""ABQ""}]",529.5
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":737,""class"":""business"",""idf"":735},{""name"":""CRP""}]",1640
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":728,""class"":""economy"",""idf"":727},{""name"":""CRP""}]",1586.75
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":761,""class"":""business"",""idf"":759},{""name"":""TUL""}]",1519.25
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":450,""class"":""firstClass"",""idf"":447},{""name"":""MFE""}]",1826.6
"[{""name"":""LAX""},{""idt"":648,""class"":""economy"",""idf"":647},{""name"":""BOS""}]",2025
"[{""name"":""LAX""},{""idt"":648,""class"":""economy"",""idf"":647},{""name"":""BOS""},{""name"":""BOS""},{""idt"":550,""class"":""firstClass"",""idf"":547},{""name"":""IAD""}]",2555.4
"[{""name"":""LAX""},{""idt"":104,""class"":""economy"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":90,""class"":""firstClass"",""idf"":87},{""name"":""MCO""}]",2138.25
"[{""name"":""LAX""},{""idt"":105,""class"":""business"",""idf"":103},{""name"":""IAH""},{""name"":""IAH""},{""idt"":529,""class"":""business"",""idf"":527},{""name"":""ORD""}]",2389
"[{""name"":""LAX""},{""idt"":544,""class"":""economy"",""idf"":543},{""name"":""EWR""},{""name"":""EWR""},{""idt"":149,""class"":""business"",""idf"":147},{""name"":""ORD""}]",2664.25
